Number,State,Value,Param dfa_DangerDFA,Param dfa_DeliveryDFA,UserAttribute m_score,UserAttribute norm_Danger,UserAttribute norm_Delivery
31,COMPLETE,105.4,51.98898453118232,306.10637056326306,300.0,1.0,0.0
32,COMPLETE,10.066666666666666,230.9373510160792,543.7946686398855,50.0,0.0,1.0
33,COMPLETE,105.6,12.928881308072135,875.2441381104841,450.0,1.0,0.0
34,COMPLETE,84.68,16.919118024699983,107.28216944058421,510.0,1.2,0.2
35,COMPLETE,85.56,30.054757060421625,75.80031329366174,420.0,1.0,0.2
36,COMPLETE,85.34666666666666,60.08861212053441,157.52673044027236,260.0,1.0,0.2
37,COMPLETE,105.6,21.129360033171956,57.98832204327238,450.0,1.0,0.0
38,COMPLETE,105.48,15.362888305496947,152.4834120361038,360.0,1.0,0.0
39,COMPLETE,105.6,12.763098599857916,106.45683153921019,450.0,1.0,0.0
40,COMPLETE,105.52,26.054602435091407,184.40960319548861,390.0,1.0,0.0
41,COMPLETE,105.6,11.16081932158819,181.59191564363763,450.0,1.0,0.0
42,COMPLETE,105.56,25.624234007197458,407.322709564154,420.0,1.0,0.0
43,COMPLETE,105.6,10.219196185130762,836.9006688597224,450.0,1.0,0.0
44,COMPLETE,64.52,130.71400660266124,49.56214730788019,390.0,1.2,0.4
45,COMPLETE,105.56,34.74390951368622,68.88068052113492,420.0,1.0,0.0
46,COMPLETE,105.6,13.565233951369999,72.34639960324932,450.0,1.0,0.0
47,COMPLETE,105.6,10.247297467353567,361.34387480288945,450.0,1.0,0.0
48,COMPLETE,105.56,36.90294812741222,680.1062301847622,420.0,1.0,0.0
49,COMPLETE,105.52,21.16856874792997,778.9937910078323,390.0,1.0,0.0
50,COMPLETE,105.6,14.52704683495711,726.7886183377,450.0,1.0,0.0
51,COMPLETE,105.6,10.057356547034637,686.0730577673039,450.0,1.0,0.0
52,COMPLETE,105.52,23.85838554253062,952.0709502471414,390.0,1.0,0.0
53,COMPLETE,105.6,41.80727942532295,127.79138435823637,450.0,1.0,0.0
54,COMPLETE,105.6,25.12605743244801,316.25475918224834,450.0,1.0,0.0
55,COMPLETE,105.52,26.30240992147661,123.27583150517674,390.0,1.0,0.0
56,COMPLETE,10.066666666666666,520.534407549652,11.82633929242173,50.0,0.0,1.0
57,COMPLETE,105.6,11.160452325160684,350.2859595519094,450.0,1.0,0.0
58,COMPLETE,105.48,22.163930260025452,262.9281217153379,360.0,1.0,0.0
59,COMPLETE,105.6,13.857076690746986,370.1691621946892,450.0,1.0,0.0
60,COMPLETE,105.6,16.404327753557673,412.6791237214163,450.0,1.0,0.0
61,COMPLETE,105.56,25.946093615009854,639.3751604918045,420.0,1.0,0.0
62,COMPLETE,105.6,10.190381209734378,984.7152356727829,450.0,1.0,0.0
63,COMPLETE,105.56,23.919498332492548,141.56880142131337,420.0,1.0,0.0
64,COMPLETE,64.48,61.42871538126649,13.890653260305236,360.0,1.2,0.4
65,COMPLETE,105.6,10.603839453808892,293.61989677717395,450.0,1.0,0.0
66,COMPLETE,105.6,35.38927571610798,44.48342875274791,450.0,1.0,0.0
67,COMPLETE,105.48,36.49981747693223,240.67837509525864,360.0,1.0,0.0
68,COMPLETE,105.6,14.957727270083861,144.08050013634485,450.0,1.0,0.0
69,COMPLETE,105.56,14.228612670088129,130.09821382771057,420.0,1.0,0.0
70,COMPLETE,84.64,26.20087176466932,182.54640046179875,480.0,1.2,0.2
71,COMPLETE,85.4,66.51269052628822,90.8777055613132,300.0,1.0,0.2
72,COMPLETE,105.4,193.59824066981403,241.51262978025838,300.0,1.0,0.0
73,COMPLETE,105.52,18.321348664959533,209.55643782377987,390.0,1.0,0.0
74,COMPLETE,105.6,27.270897396776494,89.94336220027377,450.0,1.0,0.0
75,COMPLETE,105.6,21.25262584591827,417.88132988306876,450.0,1.0,0.0
76,COMPLETE,10.066666666666666,913.5711458717429,29.83821763871592,50.0,0.0,1.0
77,COMPLETE,105.56,11.962627987722149,88.00051050533553,420.0,1.0,0.0
78,COMPLETE,105.6,13.689564088152862,268.3007365706152,450.0,1.0,0.0
79,COMPLETE,105.6,10.133784946122946,205.25016813127863,450.0,1.0,0.0
80,COMPLETE,105.56,10.17337549218605,576.7814199434723,420.0,1.0,0.0
81,COMPLETE,105.6,10.067785645220328,324.72624561715816,450.0,1.0,0.0
82,COMPLETE,105.56,10.962211721495024,218.97518975891475,420.0,1.0,0.0
83,COMPLETE,105.52,21.420966663856174,523.5606068808108,390.0,1.0,0.0
84,COMPLETE,105.48,21.4816754761284,185.02623500147524,360.0,1.0,0.0
85,COMPLETE,105.6,13.258801766871661,22.464248736702302,450.0,1.0,0.0
86,COMPLETE,105.6,10.331997070747232,378.16105748844245,450.0,1.0,0.0
87,COMPLETE,105.6,22.966385210338263,79.82259658036274,450.0,1.0,0.0
88,COMPLETE,105.4,74.35759738473304,136.2899819785436,300.0,1.0,0.0
89,COMPLETE,65.48,51.491302385607405,101.10365786412083,360.0,1.0,0.4
90,COMPLETE,84.48,52.23415721280101,54.0877488435936,360.0,1.2,0.2
91,COMPLETE,105.4,50.741567777315844,144.08551102719497,300.0,1.0,0.0
92,COMPLETE,105.56,27.268173313442645,119.3239974839419,420.0,1.0,0.0
93,COMPLETE,105.56,22.93568750078433,449.0481844438936,420.0,1.0,0.0
94,COMPLETE,85.44,74.04160065315921,326.066695011139,330.0,1.0,0.2
95,COMPLETE,105.6,20.645451756384688,837.8840491881195,450.0,1.0,0.0
96,COMPLETE,105.6,10.157052213150973,121.70708339884662,450.0,1.0,0.0
97,COMPLETE,105.56,20.082658848207263,824.8619482176922,420.0,1.0,0.0
98,COMPLETE,105.56,20.644980189056017,994.9868927694818,420.0,1.0,0.0
99,COMPLETE,105.6,12.529296690730922,542.3030377755333,450.0,1.0,0.0
