Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,0,1,1158.0,0,1,1,0,win
1,0,0,0,1,1093.0,0,1,1,0,win
1,0,0,0,1,1130.0,0,1,1,0,win
1,0,0,0,1,1159.0,0,1,1,0,win
0,0,0,0,0,40.0,0,0,0,0,timeout
1,0,0,0,1,1147.0,0,1,1,0,win
1,0,0,0,1,1120.0,0,1,1,0,win
1,0,0,0,1,1137.0,0,1,1,0,win
1,0,0,0,1,1154.0,0,1,1,0,win
1,0,0,0,1,-104.0,0,1,1,0,lose
1,0,0,0,1,1109.0,0,1,1,0,win
1,0,0,0,1,1135.0,0,1,1,0,win
1,0,0,0,1,1139.0,0,1,1,0,win
0,0,0,1,1,1143.0,0,1,0,1,win
0,0,0,1,1,1116.0,0,1,0,1,win
1,0,0,0,1,1166.0,0,1,1,0,win
0,0,1,0,0,769.0,0,0,0,0,win
0,0,0,1,1,1133.0,0,1,0,1,win
0,0,0,1,1,1161.0,0,1,0,1,win
1,0,0,0,1,1128.0,0,1,1,0,win
0,0,0,1,1,1137.0,0,1,0,1,win
1,0,0,0,1,1170.0,0,1,1,0,win
0,0,0,1,1,973.0,0,1,0,1,win
0,0,0,1,1,1152.0,0,1,0,1,win
1,0,0,0,1,1129.0,0,1,1,0,win
0,0,0,1,1,1152.0,0,1,0,1,win
1,0,0,1,2,1326.0,0,2,1,1,win
1,0,0,0,1,1099.0,0,1,1,0,win
0,0,0,1,1,1145.0,0,1,0,1,win
0,0,0,0,0,10.0,0,0,0,0,timeout
0,0,0,1,1,1148.0,0,1,0,1,win
1,0,0,0,1,-107.0,0,1,1,0,lose
0,0,0,1,1,1162.0,0,1,0,1,win
0,0,0,1,1,-3.0,0,1,0,1,lose
0,0,1,0,0,-20.0,0,0,0,0,timeout
1,0,0,0,1,1122.0,0,1,1,0,win
1,0,0,0,1,1124.0,0,1,1,0,win
0,0,0,1,1,1128.0,0,1,0,1,win
0,0,0,1,1,1161.0,0,1,0,1,win
0,0,0,1,1,97.0,0,1,0,1,lose
0,0,1,0,0,-471.0,0,0,0,0,lose
0,0,0,1,1,1157.0,0,1,0,1,win
1,0,0,0,1,1099.0,0,1,1,0,win
1,0,0,0,1,1158.0,0,1,1,0,win
0,0,1,0,0,919.0,0,0,0,0,win
0,0,1,0,0,-442.0,0,0,0,0,lose
0,0,0,1,1,1161.0,0,1,0,1,win
1,0,0,0,1,1092.0,0,1,1,0,win
0,0,1,0,0,-400.0,0,0,0,0,lose
0,0,0,0,0,10.0,0,0,0,0,timeout
1,0,0,0,1,1163.0,0,1,1,0,win
0,0,0,1,1,1108.0,0,1,0,1,win
0,0,0,1,1,1152.0,0,1,0,1,win
1,0,0,0,1,1146.0,0,1,1,0,win
0,0,0,1,1,1149.0,0,1,0,1,win
0,0,0,1,1,1144.0,0,1,0,1,win
0,0,0,1,1,1142.0,0,1,0,1,win
1,0,0,0,1,1120.0,0,1,1,0,win
0,0,0,1,1,1113.0,0,1,0,1,win
0,0,0,1,1,1134.0,0,1,0,1,win
1,0,0,1,2,1356.0,0,2,1,1,win
0,0,0,1,1,1072.0,0,1,0,1,win
1,0,0,0,1,1145.0,0,1,1,0,win
0,0,0,0,0,0.0,0,0,0,0,timeout
0,0,0,1,1,1121.0,0,1,0,1,win
0,0,0,1,1,1138.0,0,1,0,1,win
0,0,0,0,0,-90.0,0,0,0,0,timeout
1,0,0,0,1,5.0,0,1,1,0,lose
1,0,0,0,1,1165.0,0,1,1,0,win
0,0,0,0,0,-10.0,0,0,0,0,timeout
1,0,0,0,1,1137.0,0,1,1,0,win
0,0,0,0,0,40.0,0,0,0,0,timeout
0,0,0,1,1,1144.0,0,1,0,1,win
0,0,0,1,1,-73.0,0,1,0,1,lose
1,0,0,0,1,1111.0,0,1,1,0,win
1,0,0,0,1,1147.0,0,1,1,0,win
