Number,State,Value,Param dfa_VegBlueDFA,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
68,COMPLETE,10.465535654596101,406.64914939899506,0.0098,0.005,0.0048000000000000004,0.9836,0.0522,879.6139999999999,0.9454
69,COMPLETE,10.46799364902507,2670.0721840300826,0.012,0.0054,0.0066,0.8478,0.055400000000000005,893.8986000000001,0.9438000000000001
70,COMPLETE,10.461745181058495,1668.4183085037391,0.0112,0.0056,0.0056,0.983,0.059,879.0926,0.9385999999999999
71,COMPLETE,10.47574479108635,2282.499550440503,0.0054,0.0028,0.0026,1.0316,0.0608,878.1944,0.9376
72,COMPLETE,10.470327242339833,1368.5845107937712,0.0092,0.0034000000000000002,0.0058000000000000005,0.9826,0.0586,885.5224000000001,0.9385999999999999
73,COMPLETE,10.447796267409473,3332.7330932964314,0.013000000000000001,0.0082,0.0048000000000000004,1.0894,0.0628,862.1317999999999,0.93
74,COMPLETE,10.479805793871865,1420.9037397351242,0.0072,0.0024000000000000002,0.0048000000000000004,0.9346,0.055200000000000006,893.5613999999999,0.9438000000000001
75,COMPLETE,10.474275041782729,1270.7144132420808,0.0114,0.0058000000000000005,0.0056,0.6607999999999999,0.046,902.4812,0.953
76,COMPLETE,10.471443008356546,4310.554482479372,0.008,0.004399999999999999,0.0036,0.8417999999999999,0.0536,882.1402,0.9438000000000001
77,COMPLETE,10.466071810584959,2747.1282660111187,0.0082,0.004399999999999999,0.0038,1.0544,0.06620000000000001,873.3964,0.933
78,COMPLETE,10.48052462395543,2343.1318750259156,0.0066,0.0028,0.0038,0.7748,0.054200000000000005,892.1592,0.945
79,COMPLETE,10.473049415041782,2355.6726135609274,0.0114,0.0062,0.0052,0.761,0.0486,900.2812,0.9512
80,COMPLETE,10.47574852367688,2351.31922228674,0.0064,0.0028,0.0036,1.1423999999999999,0.0624,882.6886000000001,0.9368000000000001
81,COMPLETE,10.460728969359332,1562.258191928887,0.012199999999999999,0.006,0.0062,0.905,0.0586,881.756,0.9364000000000001
82,COMPLETE,10.4584730362117,4314.92112192123,0.013800000000000002,0.0072,0.0066,1.008,0.0558,884.8866,0.9416
83,COMPLETE,10.442980278551532,1262.0207862260895,0.014000000000000002,0.0066,0.0073999999999999995,1.2452,0.0644,857.9745999999999,0.9194000000000001
84,COMPLETE,3.6811301949860726,144.87099814353732,2.8554,1.4294,1.426,0.7333999999999999,0.0456,1471.2361999999998,0.954
85,COMPLETE,10.460475877437327,2329.664368270204,0.0132,0.007000000000000001,0.0062,0.9094,0.056999999999999995,885.7891999999999,0.9423999999999999
86,COMPLETE,10.46089253481894,512.9084498062205,0.010199999999999999,0.0052,0.005,1.2798,0.0708,873.0745999999999,0.9284000000000001
87,COMPLETE,10.45067286908078,591.6256129066115,0.014000000000000002,0.0082,0.0058000000000000005,0.9949999999999999,0.057199999999999994,871.7828,0.9346
88,COMPLETE,10.430383955431754,274.3426163736155,0.028000000000000004,0.014000000000000002,0.014000000000000002,0.7956000000000001,0.0512,898.1892,0.9478
89,COMPLETE,10.457162061281336,1433.1926788302803,0.0154,0.0073999999999999995,0.008,0.8583999999999999,0.0576,889.7134,0.9404
90,COMPLETE,10.45051147632312,1649.0103895794068,0.015,0.0076,0.0073999999999999995,1.1456,0.0688,875.9806000000001,0.9292
91,COMPLETE,10.468141448467968,1179.5311175070717,0.0086,0.0046,0.004,0.9566000000000001,0.0612,878.9064000000001,0.9364000000000001
92,COMPLETE,10.453299498607242,2042.7817050588687,0.0124,0.006,0.0064,0.8917999999999999,0.0546,869.3176,0.9334
93,COMPLETE,10.48182573816156,1347.336259316667,0.0076,0.0032,0.004399999999999999,0.8476000000000001,0.05,898.9822,0.9492
94,COMPLETE,10.455881615598885,3346.8212585921947,0.0114,0.0062,0.0052,1.1006,0.0698,869.4649999999999,0.9296
95,COMPLETE,10.456852311977716,2968.1189336376324,0.0118,0.0048000000000000004,0.007000000000000001,1.2156,0.06720000000000001,873.0024,0.9305999999999999
96,COMPLETE,10.480267966573816,2017.4653751503797,0.0048000000000000004,0.0021999999999999997,0.0026,1.1503999999999999,0.0612,883.6209999999999,0.9378
97,COMPLETE,10.478252813370473,2090.8393831264725,0.0072,0.0048000000000000004,0.0024000000000000002,1.0106,0.0596,890.7737999999999,0.9398
98,COMPLETE,10.4682156545961,1900.0094629195085,0.009,0.0052,0.0038,0.9802,0.05639999999999999,880.8345999999999,0.9406000000000001
99,COMPLETE,10.473969972144848,888.0311738242508,0.009,0.0058000000000000005,0.0032,0.8506,0.056999999999999995,891.1636000000001,0.9418
