Number,State,Value,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_EarlyBird,UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
29,COMPLETE,95.49922027855153,1800.8909567500941,52.57938565265927,0.06620000000000001,3.4668,1.7356000000000003,1.7312,1.7356000000000003,1.7312,4.103199999999999,0.16899999999999998,1411.2654,0.8272
30,COMPLETE,75.44503632311978,4794.83614388684,1521.1003123098858,0.3416,0.1204,0.061,0.059399999999999994,0.061,0.059399999999999994,32.0726,0.3484,-168.66479999999999,0.0
31,COMPLETE,98.36502033426184,1938.0568796246093,141.90641744379005,0.048799999999999996,3.0138000000000003,1.5166,1.4971999999999999,1.5166,1.4971999999999999,2.4954,0.1196,1399.239,0.8778
32,COMPLETE,101.80822038997213,1982.4651208392359,262.6496797497139,0.046200000000000005,1.6864000000000001,0.8244,0.8619999999999999,0.8244,0.8619999999999999,1.9558,0.1004,1156.3755999999998,0.8984
33,COMPLETE,102.13174267409471,1093.6115440152942,476.43182009092516,0.0576,1.0602,0.5404,0.5198,0.5404,0.5198,2.5178000000000003,0.1366,973.3255999999999,0.8564
34,COMPLETE,73.86927264623955,1175.3031811375336,1233.0556562401991,0.3598,0.0308,0.014599999999999998,0.0162,0.014599999999999998,0.0162,28.4772,0.28700000000000003,-132.3406,0.0
35,COMPLETE,104.96346467966573,4443.782260505429,640.5813526535474,0.03,1.0286,0.5296000000000001,0.499,0.5296000000000001,0.499,2.3308,0.128,960.2616,0.8592000000000001
36,COMPLETE,104.12544456824511,2329.8655865549213,404.41160776491455,0.036,1.1388,0.5692,0.5696,0.5692,0.5696,1.8128,0.1116,1027.538,0.8874000000000001
37,COMPLETE,102.82769754874651,4641.420413169803,287.37133778156567,0.0442,1.331,0.6607999999999999,0.6702,0.6607999999999999,0.6702,2.4006,0.1316,1032.4796000000001,0.8632
38,COMPLETE,100.88456367688023,755.65916032479,296.83357868428425,0.0648,1.2892,0.6542,0.635,0.6542,0.635,1.9815999999999998,0.1172,1054.6768,0.8805999999999999
39,COMPLETE,103.41689955431755,2622.165854547916,501.14237286547865,0.0444,1.079,0.5384,0.5406,0.5384,0.5406,2.1016,0.1258,995.1472,0.8712
40,COMPLETE,102.73539944289692,857.1921705822147,275.5833949324813,0.040999999999999995,1.5148,0.7658,0.749,0.7658,0.749,1.8326,0.1066,1117.2069999999999,0.8932
41,COMPLETE,101.56171676880223,1133.9014518437157,522.776440081583,0.064,1.0292,0.529,0.5002,0.529,0.5002,2.817,0.133,959.8165999999999,0.8538
42,COMPLETE,77.53310412256268,1914.1063505450713,1070.6969185351481,0.323,0.0398,0.0188,0.020999999999999998,0.0188,0.020999999999999998,28.157400000000003,0.2718,-120.97560000000001,0.0024000000000000002
43,COMPLETE,100.7376556545961,2276.9795855380275,244.9581127301919,0.0522,1.8898,0.9412,0.9486000000000001,0.9412,0.9486000000000001,1.2366,0.0862,1224.4694,0.913
44,COMPLETE,98.17404334261838,989.8188966608805,193.96005679075915,0.0656,2.4015999999999997,1.2102,1.1914,1.2102,1.1914,1.8576000000000001,0.0892,1324.7878,0.9076000000000001
45,COMPLETE,103.8937303064067,4708.834906876754,504.354216094449,0.0396,1.0710000000000002,0.5394,0.5316,0.5394,0.5316,2.8606000000000003,0.134,953.5584000000001,0.8503999999999999
46,COMPLETE,96.12190818941505,2040.7861749801498,133.75242583002608,0.0738,2.914,1.4524,1.4616,1.4524,1.4616,2.207,0.1008,1412.5002,0.8962
