Number,State,Value,Param dfa_DangerDFA,Param dfa_DeliveryDFA,UserAttribute m_score,UserAttribute norm_Danger,UserAttribute norm_Delivery
73,COMPLETE,105.6,12.08480146616904,794.5244088365141,450.0,1.0,0.0
74,COMPLETE,105.6,14.75764787130529,951.557331974286,450.0,1.0,0.0
75,COMPLETE,105.6,11.214372765350648,676.0120214945132,450.0,1.0,0.0
76,COMPLETE,105.6,10.420946196349991,570.3354030859322,450.0,1.0,0.0
77,COMPLETE,10.066666666666666,258.32046519261104,10.320177265126281,50.0,0.0,1.0
78,COMPLETE,105.6,13.67730408760386,993.4275022750676,450.0,1.0,0.0
79,COMPLETE,105.6,11.766226871194954,953.0174369754453,450.0,1.0,0.0
80,COMPLETE,10.053333333333333,725.2730347889457,173.33061703045618,40.0,0.0,1.0
81,COMPLETE,105.52,26.833237091371043,519.2988142109697,390.0,1.0,0.0
82,COMPLETE,105.6,10.77488205574642,831.5524497366416,450.0,1.0,0.0
83,COMPLETE,85.48,50.94849423296482,144.7609671507324,360.0,1.0,0.2
84,COMPLETE,105.56,30.321786692610683,373.6496659029294,420.0,1.0,0.0
85,COMPLETE,105.4,71.62815921687323,896.6812637040722,300.0,1.0,0.0
86,COMPLETE,105.6,10.390491099298755,368.4420601807099,450.0,1.0,0.0
87,COMPLETE,105.6,10.12508455691578,484.43361737296203,450.0,1.0,0.0
88,COMPLETE,105.6,26.84406115037228,721.1986332404409,450.0,1.0,0.0
89,COMPLETE,64.68,22.7997867484053,47.97833313614471,510.0,1.2,0.4
90,COMPLETE,105.6,33.68485377193499,987.8585235813955,450.0,1.0,0.0
91,COMPLETE,85.56,46.831235936669536,85.21248399127354,420.0,1.0,0.2
92,COMPLETE,105.56,18.77906427302223,288.9330136470461,420.0,1.0,0.0
93,COMPLETE,105.56,21.739671004076943,375.93200303160495,420.0,1.0,0.0
94,COMPLETE,105.6,26.509237037272793,320.17522812328644,450.0,1.0,0.0
95,COMPLETE,105.6,11.553247659602137,941.6476562847206,450.0,1.0,0.0
96,COMPLETE,105.56,21.1954181445541,457.21654576290337,420.0,1.0,0.0
97,COMPLETE,105.6,10.498880902051543,910.9680015360306,450.0,1.0,0.0
98,COMPLETE,86.33333333333333,138.72757208923866,101.49282182567336,250.0,0.8,0.2
99,COMPLETE,105.6,23.376575087716613,85.27908085495388,450.0,1.0,0.0
