Number,State,Value,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
48,COMPLETE,95.2780747632312,1073.1476362205028,197.4896489571956,0.0992,1.1174,1.8758,1.1174,2.4066,0.0994,1409.2092,0.8946
49,COMPLETE,95.51233158774373,275.6702805332835,215.05387901530958,0.10300000000000001,0.9944000000000001,1.905,0.9944000000000001,2.3078,0.09519999999999999,1407.8752,0.9039999999999999
50,COMPLETE,92.83296880222841,1165.8452163973168,205.84338284170528,0.1244,1.1036,1.879,1.1036,2.5686,0.1012,1419.789,0.8972
51,COMPLETE,92.49533025069638,1441.5929617966744,296.0011928517614,0.1674,0.2904,1.8572,0.2904,2.3302,0.1048,1233.7577999999999,0.8938
52,COMPLETE,87.38054885793872,2138.5448544370797,200.4967149508256,0.1766,1.151,1.8738,1.151,2.6564,0.1004,1428.0102000000002,0.8987999999999999
53,COMPLETE,94.9252930362117,551.0404850524808,260.88194309199326,0.13040000000000002,0.5516,1.884,0.5516,2.5164,0.1116,1298.3110000000001,0.8884000000000001
54,COMPLETE,93.26012579387186,2289.4259516634697,195.7936862612433,0.12079999999999999,1.0859999999999999,1.8783999999999998,1.0859999999999999,3.0674,0.121,1382.3758,0.8772
55,COMPLETE,93.71364189415043,1392.4838859744416,161.4131929227758,0.1032,1.3523999999999998,1.8664,1.3523999999999998,3.446,0.1326,1428.1772,0.8666
56,COMPLETE,93.97100044568245,4751.407868554997,187.38755202271398,0.1078,1.208,1.8530000000000002,1.208,2.7116,0.10700000000000001,1419.8458,0.8897999999999999
57,COMPLETE,95.28438830083564,256.4834609465522,272.03495374378826,0.13240000000000002,0.43760000000000004,1.8867999999999998,0.43760000000000004,2.3586,0.10800000000000001,1278.737,0.8916000000000001
58,COMPLETE,97.07453637883009,1904.736117526819,283.43030720451054,0.1182,0.362,1.8818000000000001,0.362,2.1182,0.1018,1264.6428,0.8974
59,COMPLETE,95.81423052924791,669.4441354337355,363.2707865778076,0.142,0.133,1.8699999999999999,0.133,1.9936,0.094,1219.2188,0.9054
60,COMPLETE,97.3885721448468,1695.5163825614618,248.99446359400895,0.1008,0.6542,1.8888000000000003,0.6542,2.2316,0.0968,1327.532,0.9014
61,COMPLETE,92.19478428969359,1520.3557392832693,439.7446575898338,0.181,0.0728,1.8115999999999999,0.0728,2.1838,0.0996,1182.5178,0.8956
62,COMPLETE,91.93923376044569,471.18583310146596,179.57326334045064,0.1258,1.2546,1.8578,1.2546,3.1848,0.1232,1422.0596,0.8757999999999999
63,COMPLETE,85.0916398885794,586.8586360502102,56.81334921058238,0.1674,1.7986,1.859,1.7986,4.1856,0.1524,1480.2286,0.8468
64,COMPLETE,93.28034584958216,1635.576606930553,122.30805867954948,0.0968,1.5656,1.841,1.5656,4.4382,0.1578,1415.0808000000002,0.8392
65,COMPLETE,94.80010228412257,4723.27711216448,435.7223649688599,0.1554,0.0636,1.8294000000000001,0.0636,1.8559999999999999,0.0974,1181.2936,0.8960000000000001
66,COMPLETE,84.91010974930361,207.00219228708073,490.8501577151758,0.254,0.0736,1.8718,0.0736,1.8135999999999999,0.089,1217.2069999999999,0.9092
67,COMPLETE,95.59962016713092,370.919167508608,448.40470130450564,0.14579999999999999,0.09659999999999999,1.8611999999999997,0.09659999999999999,2.3824,0.1052,1189.4032,0.8894
68,COMPLETE,97.0109748189415,1994.6271031226227,225.33078389959243,0.0932,0.8844,1.8820000000000001,0.8844,2.7978,0.11299999999999999,1351.5898,0.8852
69,COMPLETE,98.35117192200558,2176.2105313142497,365.2269427724439,0.11739999999999999,0.11639999999999999,1.8534,0.11639999999999999,2.1456,0.0922,1208.3436,0.9061999999999999
70,COMPLETE,92.36033649025069,1569.6935624102152,241.8485443242364,0.1442,0.794,1.8922,0.794,2.6668,0.1106,1346.854,0.8880000000000001
71,COMPLETE,94.88951632311976,2162.8351368925773,280.00109878957636,0.13879999999999998,0.39039999999999997,1.8719999999999999,0.39039999999999997,1.7288000000000001,0.08020000000000001,1295.1218000000001,0.9182
72,COMPLETE,92.13865537604457,1405.9308507972926,438.2613530683803,0.1812,0.0792,1.8282,0.0792,2.5012,0.11100000000000002,1175.1064000000001,0.8855999999999999
73,COMPLETE,88.17369849582172,2216.1086047173294,151.54054673392517,0.1548,1.4298,1.8674,1.4298,3.2665999999999995,0.12840000000000001,1440.8438,0.8710000000000001
74,COMPLETE,97.54137760445683,2242.1346162458344,308.8615591489069,0.11939999999999999,0.24180000000000001,1.8686,0.24180000000000001,2.0342,0.0962,1239.2278000000001,0.9018
75,COMPLETE,94.17873392757659,1341.9416148002222,365.28490142093034,0.15860000000000002,0.1262,1.8454000000000002,0.1262,2.1584,0.10400000000000001,1202.1724,0.8936
76,COMPLETE,98.31988980501393,2354.7216716998787,255.39177059791672,0.0958,0.5664,1.875,0.5664,2.109,0.09,1313.7422000000001,0.9071999999999999
77,COMPLETE,90.34618094707521,933.455996985482,141.4749192709345,0.12940000000000002,1.5054,1.8684,1.5054,3.2536,0.13,1459.6598,0.8682000000000001
78,COMPLETE,97.06082852367689,631.5169412368018,321.93998031772406,0.1258,0.20659999999999998,1.862,0.20659999999999998,2.3622,0.10840000000000001,1209.5221999999999,0.8878
79,COMPLETE,94.23235097493037,1021.2325699924456,588.5911910784388,0.1602,0.08,1.8585999999999998,0.08,2.5186,0.119,1170.97,0.8782
80,COMPLETE,96.08975086350974,986.1652538209185,322.03443655590246,0.1346,0.22879999999999998,1.8738,0.22879999999999998,2.1248,0.09519999999999999,1245.2828,0.9042
81,COMPLETE,95.63849838440112,3944.4096075388966,259.2312690987351,0.125,0.517,1.8872,0.517,2.1776,0.0902,1298.6796,0.9032
82,COMPLETE,91.41445314763232,2849.5955131957962,430.30295210287306,0.1888,0.076,1.8728000000000002,0.076,1.8054,0.0912,1210.6434,0.9064
83,COMPLETE,92.49466941504177,1670.0281839810511,609.0156890573377,0.1782,0.0674,1.8265999999999998,0.0674,2.4737999999999998,0.11359999999999999,1169.7466,0.8805999999999999
84,COMPLETE,90.84372144846796,4797.929224519275,4567.946398148055,0.1948,0.0628,1.8050000000000002,0.0628,3.113,0.1234,1144.71,0.8744
85,COMPLETE,93.76069381615599,2647.9719878590345,385.5750974174819,0.1638,0.1052,1.8626,0.1052,2.1198,0.1042,1196.7154,0.8938
86,COMPLETE,96.40691543175487,1138.7148904292644,289.9453138300181,0.124,0.377,1.8576000000000001,0.377,2.8655999999999997,0.12,1241.9882,0.8794000000000001
87,COMPLETE,98.54340334261839,1483.499729055288,323.27418723646514,0.11100000000000002,0.2082,1.8504,0.2082,2.13,0.0968,1228.5040000000001,0.901
88,COMPLETE,91.85088100278551,2368.5541898998035,702.6657648879564,0.185,0.0616,1.8428,0.0616,2.3792,0.1062,1182.6914000000002,0.8916000000000001
89,COMPLETE,91.91741080779943,3135.822191020135,279.41564314712684,0.1682,0.3928,1.8687999999999998,0.3928,2.3542,0.11000000000000001,1259.0324,0.8896000000000001
90,COMPLETE,96.13393203342619,2170.2120342603166,274.7394646016775,0.1264,0.3892,1.8908,0.3892,1.7906,0.0884,1292.278,0.9116
91,COMPLETE,88.92759743732591,2790.844836153353,109.47377934679199,0.13779999999999998,1.6186,1.8504,1.6186,4.034000000000001,0.1582,1437.0724,0.8406
92,COMPLETE,97.12598986072425,2790.4062065601584,293.182791615268,0.121,0.29460000000000003,1.8728000000000002,0.29460000000000003,2.1134,0.0948,1254.6868,0.9046
93,COMPLETE,97.6833148746518,1915.0972155356492,249.79362230418846,0.0974,0.662,1.8800000000000001,0.662,2.4568000000000003,0.10880000000000001,1316.3002000000001,0.8888
94,COMPLETE,88.73749715877437,980.8848299150212,170.49950087458876,0.1548,1.3178,1.889,1.3178,2.7684,0.118,1447.6624,0.8817999999999999
95,COMPLETE,97.66947064066854,1705.39884871851,259.95429847879524,0.1012,0.591,1.8972000000000002,0.591,1.9036000000000002,0.088,1336.3247999999999,0.9112
96,COMPLETE,93.55984557103064,3052.9581527990526,214.73475924905125,0.1212,1.0211999999999999,1.8898,1.0211999999999999,2.3936,0.09140000000000001,1410.5928,0.9046
97,COMPLETE,89.10477359331475,1870.6112236040499,190.77303492742573,0.1588,1.1606,1.8437999999999999,1.1606,2.9206,0.10600000000000001,1414.0536,0.8922000000000001
98,COMPLETE,95.503443454039,2706.3890058957772,240.62099039242162,0.11579999999999999,0.7338,1.8829999999999998,0.7338,1.9136,0.0932,1350.636,0.905
99,COMPLETE,89.14930484679667,2166.061572185494,575.2604673412442,0.2116,0.07039999999999999,1.8452000000000002,0.07039999999999999,2.3718,0.1052,1187.0422,0.8924
