Number,State,Value,Param dfa_EarlyBirdDFA1,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
22,COMPLETE,9.840859944289694,1239.1691946996168,0.096,1.7922,1.7803999999999998,4.0952,0.1708,1437.5436,0.829
23,COMPLETE,9.741795097493036,1007.5842554208851,0.1042,1.7711999999999999,1.7794,4.7188,0.1898,1406.9122,0.8093999999999999
24,COMPLETE,6.340018941504178,118.46804157182697,0.44939999999999997,1.8252,1.8204,3.1658,0.1422,1497.0639999999999,0.8573999999999999
25,COMPLETE,10.263338830083566,4946.098535500207,0.054400000000000004,1.8056,1.8242,3.5786000000000002,0.16499999999999998,1449.1732,0.8343999999999999
26,COMPLETE,10.264507855153202,2310.5459633639207,0.054000000000000006,1.7974,1.778,3.5881999999999996,0.15960000000000002,1444.0916,0.8382
27,COMPLETE,10.285927688022284,4596.153426113998,0.0516,1.8265999999999998,1.8175999999999999,4.0662,0.1748,1439.4602,0.825
28,COMPLETE,10.27217660167131,2013.8653345154191,0.0536,1.7952000000000001,1.7916,3.4104,0.1582,1450.6770000000001,0.8400000000000001
29,COMPLETE,10.111386295264623,2118.2189099752723,0.06720000000000001,1.7512,1.7292,4.320600000000001,0.1708,1406.1784,0.8226000000000001
30,COMPLETE,10.167222395543176,952.7155320605201,0.0618,1.7642,1.7576,4.3002,0.1816,1409.4742,0.8178000000000001
31,COMPLETE,10.25875877437326,4944.132897230312,0.0524,1.812,1.7876,4.3469999999999995,0.19319999999999998,1405.0520000000001,0.8058
32,COMPLETE,9.83146373259053,1073.5170986845744,0.096,1.7828,1.7566,4.293200000000001,0.17980000000000002,1420.6774,0.8196
33,COMPLETE,10.005139721448467,1853.8029411660084,0.07880000000000001,1.7922,1.7736,4.3266,0.176,1423.6858,0.8215999999999999
34,COMPLETE,10.008401002785515,794.425610629832,0.0796,1.797,1.78,3.7923999999999998,0.1696,1443.8998,0.8301999999999999
35,COMPLETE,10.335758440111421,2387.4983104869825,0.0472,1.8014,1.8104,3.5342,0.16040000000000001,1449.9263999999998,0.8388
36,COMPLETE,10.03770896935933,1881.8367581190741,0.07680000000000001,1.7920000000000003,1.795,3.8106,0.1618,1446.2476000000001,0.8342
37,COMPLETE,10.330743286908078,2045.9676385842452,0.047799999999999995,1.7948,1.8072,3.6475999999999997,0.1598,1451.6942,0.8396000000000001
38,COMPLETE,10.130889136490252,1082.138536496923,0.0668,1.779,1.7893999999999999,3.7332,0.1748,1434.0059999999999,0.8252
39,COMPLETE,10.174921448467966,2598.321579442538,0.062,1.7870000000000001,1.8074000000000001,4.2248,0.1816,1426.884,0.8182
