Number,State,Value,Param dfa_CTDBlueDFA,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
45,COMPLETE,978.460716545961,3698.425256928342,745.2181015061857,269.26074005308567,0.0078,0.1288,1.2158,1.208,0.6054,0.6026,0.6054,0.6026,7.633,0.14279999999999998,853.9111999999999,0.71
46,COMPLETE,1054.2638971587744,80.40243523997944,778.1119255555981,243.67692079742756,0.0086,0.0518,1.7562000000000002,1.7475999999999998,0.8901999999999999,0.8573999999999999,0.8901999999999999,0.8573999999999999,1.8846,0.10540000000000001,1162.9754,0.8914
47,COMPLETE,331.8589101949861,74.15777209838238,237.40039391587393,381.6511301601454,0.0114,0.7776,0.3174,0.306,0.1482,0.1578,0.1482,0.1578,0.9182,0.087,913.4938,0.913
48,COMPLETE,1068.6819101392757,684.0116880966272,4869.825728603644,234.40373243445273,0.006,0.0372,1.861,1.855,0.9286,0.9263999999999999,0.9286,0.9263999999999999,1.7730000000000001,0.09,1201.5912,0.909
49,COMPLETE,1057.8821341504179,322.9490947671711,1455.4510861342367,164.00481590005919,0.0098,0.046400000000000004,2.489,2.4792,1.2426,1.2366,1.2426,1.2366,2.3492,0.11240000000000001,1301.6158,0.8864000000000001
50,COMPLETE,1061.1307140947074,494.13871066448104,3160.7280439635424,169.53236414395138,0.008,0.0432,2.4856000000000003,2.4776,1.2482,1.2294,1.2482,1.2294,2.0728,0.1152,1300.8618000000001,0.8836
51,COMPLETE,1062.2411982172703,4629.173743719794,2367.4153700233187,67.9862870832634,0.008799999999999999,0.0402,3.2464,3.2375999999999996,1.6216000000000002,1.616,1.6216000000000002,1.616,3.8850000000000002,0.1726,1355.5808000000002,0.8253999999999999
52,COMPLETE,1061.4865523119777,143.27790734361548,1553.5142180831474,329.9483934387172,0.010199999999999999,0.0458,1.2214,1.2112,0.6016,0.6096,0.6016,0.6096,2.1866,0.121,1022.3464,0.8715999999999999
53,COMPLETE,1063.4215320891365,392.7321920522809,1690.1368994312231,258.55792100764774,0.0076,0.043,1.6146,1.607,0.796,0.8109999999999999,0.796,0.8109999999999999,1.986,0.1068,1129.1126,0.889
54,COMPLETE,1072.2777094707521,274.2504841030087,4854.106901563554,156.45155585959307,0.011,0.0316,2.6475999999999997,2.6366,1.3118,1.3248,1.3118,1.3248,1.8582,0.10980000000000001,1335.856,0.8897999999999999
55,COMPLETE,1041.8655030083564,275.83089823691853,848.952883729498,102.98051962374022,0.01,0.0612,2.9905999999999997,2.9806,1.4964,1.4842,1.4964,1.4842,2.565,0.1318,1376.7703999999999,0.866
56,COMPLETE,354.64733281337044,69.29195936168728,457.73756712518644,4789.050541836101,0.0072,0.7554000000000001,0.016800000000000002,0.009600000000000001,0.0054,0.004200000000000001,0.0054,0.004200000000000001,11.358799999999999,0.179,451.1424,0.5276
57,COMPLETE,1065.1623773259053,1139.8377742076448,2213.0009937967384,154.45173203393622,0.004200000000000001,0.039,2.59,2.5858,1.2938,1.292,1.2938,1.292,2.2918,0.1224,1313.7198,0.8766
58,COMPLETE,1067.0644254038998,486.052136006779,2508.727080899129,258.90535179880203,0.002,0.039400000000000004,1.6507999999999998,1.6488,0.8044,0.8444,0.8044,0.8444,1.7917999999999998,0.10600000000000001,1142.3836,0.8906000000000001
59,COMPLETE,1062.2775706406685,4150.946131753534,3931.8493574564136,53.338488080158996,0.008799999999999999,0.04,3.3118000000000003,3.303,1.6496,1.6534,1.6496,1.6534,3.851,0.18460000000000001,1355.3518,0.8135999999999999
60,COMPLETE,1010.9011328690808,260.4730753295378,1198.5015914097514,534.0814291717512,0.013600000000000001,0.0968,0.9738,0.9602,0.48840000000000006,0.4718,0.48840000000000006,0.4718,6.420999999999999,0.2012,792.731,0.7272000000000001
61,COMPLETE,1064.9867482451252,251.7570447216703,2235.2186238492545,218.04575852081084,0.0104,0.0402,2.1117999999999997,2.1014,1.0542,1.0472,1.0542,1.0472,1.6827999999999999,0.0922,1256.9456,0.907
62,COMPLETE,1060.1176599442897,404.4717980667994,2615.7870743755084,110.440362377613,0.007000000000000001,0.0428,3.085,3.0780000000000003,1.5388,1.5392,1.5388,1.5392,2.3731999999999998,0.1156,1413.8496,0.8834
