Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
0,1,1,1120.0,0,1,0,1,win
0,0,1,1060.0,0,1,0,1,win
1,0,0,1154.0,0,1,1,0,win
1,0,1,1294.0,0,2,1,1,win
1,0,0,1123.0,0,1,1,0,win
1,0,0,-138.0,0,1,1,0,lose
1,0,1,1356.0,0,2,1,1,win
1,0,0,1165.0,0,1,1,0,win
0,0,1,1162.0,0,1,0,1,win
1,0,0,-76.0,0,1,1,0,lose
1,0,0,-25.0,0,1,1,0,lose
0,0,1,1130.0,0,1,0,1,win
0,1,0,-521.0,0,0,0,0,lose
0,0,1,1081.0,0,1,0,1,win
0,0,1,97.0,0,1,0,1,lose
1,0,1,337.0,0,2,1,1,lose
1,0,0,1105.0,0,1,1,0,win
0,0,1,958.0,0,1,0,1,win
1,0,0,1102.0,0,1,1,0,win
0,0,1,140.0,0,1,0,1,lose
1,0,0,1131.0,0,1,1,0,win
1,0,0,1077.0,0,1,1,0,win
1,0,0,1142.0,0,1,1,0,win
0,0,1,1150.0,0,1,0,1,win
1,0,0,1105.0,0,1,1,0,win
1,0,0,1140.0,0,1,1,0,win
0,0,1,1084.0,0,1,0,1,win
0,0,1,1072.0,0,1,0,1,win
1,0,0,1116.0,0,1,1,0,win
1,0,0,1099.0,0,1,1,0,win
1,0,0,1115.0,0,1,1,0,win
0,0,1,1080.0,0,1,0,1,win
0,0,1,1126.0,0,1,0,1,win
1,0,0,1099.0,0,1,1,0,win
0,0,1,-30.0,0,1,0,1,lose
0,0,1,1104.0,0,1,0,1,win
0,0,1,1160.0,0,1,0,1,win
0,0,1,1143.0,0,1,0,1,win
1,0,0,1117.0,0,1,1,0,win
1,0,0,1144.0,0,1,1,0,win
0,0,1,1168.0,0,1,0,1,win
1,0,0,1148.0,0,1,1,0,win
1,0,0,38.0,0,1,1,0,lose
1,0,0,1079.0,0,1,1,0,win
1,0,0,1099.0,0,1,1,0,win
0,1,0,765.0,0,0,0,0,win
1,0,0,1155.0,0,1,1,0,win
0,0,1,52.0,0,1,0,1,lose
0,0,1,1109.0,0,1,0,1,win
0,0,1,1146.0,0,1,0,1,win
1,0,1,1308.0,0,2,1,1,win
1,0,0,1095.0,0,1,1,0,win
0,0,1,1149.0,0,1,0,1,win
1,0,0,1130.0,0,1,1,0,win
0,0,1,1123.0,0,1,0,1,win
0,0,1,1131.0,0,1,0,1,win
0,0,1,1080.0,0,1,0,1,win
1,0,0,1134.0,0,1,1,0,win
0,0,1,1061.0,0,1,0,1,win
1,0,0,1114.0,0,1,1,0,win
1,0,0,1047.0,0,1,1,0,win
0,0,1,-18.0,0,1,0,1,lose
0,0,1,1049.0,0,1,0,1,win
1,0,1,1298.0,0,2,1,1,win
1,0,0,1093.0,0,1,1,0,win
1,0,1,1349.0,0,2,1,1,win
0,0,1,1150.0,0,1,0,1,win
1,0,0,1073.0,0,1,1,0,win
1,0,0,1147.0,0,1,1,0,win
0,0,1,-131.0,0,1,0,1,lose
1,0,0,1156.0,0,1,1,0,win
0,0,1,122.0,0,1,0,1,lose
1,0,1,1262.0,0,2,1,1,win
1,0,0,1170.0,0,1,1,0,win
1,0,0,370.0,0,1,1,0,timeout
0,0,1,1172.0,0,1,0,1,win
1,0,0,-32.0,0,1,1,0,lose
1,0,0,1081.0,0,1,1,0,win
0,0,1,1136.0,0,1,0,1,win
0,0,1,1118.0,0,1,0,1,win
0,0,1,1115.0,0,1,0,1,win
1,0,0,1147.0,0,1,1,0,win
0,0,1,1126.0,0,1,0,1,win
1,0,0,1144.0,0,1,1,0,win
1,0,1,1334.0,0,2,1,1,win
1,0,1,1302.0,0,2,1,1,win
0,0,1,1062.0,0,1,0,1,win
0,0,1,1146.0,0,1,0,1,win
1,0,0,1116.0,0,1,1,0,win
0,0,0,10.0,0,0,0,0,timeout
1,0,0,1052.0,0,1,1,0,win
0,0,1,1092.0,0,1,0,1,win
1,0,0,1087.0,0,1,1,0,win
1,0,0,1077.0,0,1,1,0,win
1,0,0,1124.0,0,1,1,0,win
1,0,1,1232.0,0,2,1,1,win
0,0,1,1154.0,0,1,0,1,win
0,0,1,1082.0,0,1,0,1,win
1,0,0,1.0,0,1,1,0,lose
0,0,1,1105.0,0,1,0,1,win
1,0,0,1131.0,0,1,1,0,win
