Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,0,1,113.0,0,1,1,0,lose
0,0,0,1,1,1083.0,0,1,0,1,win
0,0,0,1,1,1156.0,0,1,0,1,win
0,0,0,1,1,1026.0,0,1,0,1,win
0,0,0,1,1,-174.0,0,1,0,1,lose
1,0,0,1,2,1256.0,0,2,1,1,win
0,0,0,1,1,1148.0,0,1,0,1,win
1,0,0,0,1,1124.0,0,1,1,0,win
1,0,0,0,1,1055.0,0,1,1,0,win
0,0,0,1,1,1128.0,0,1,0,1,win
1,0,0,0,1,1099.0,0,1,1,0,win
0,0,1,0,0,888.0,0,0,0,0,win
0,0,0,1,1,22.0,0,1,0,1,lose
0,0,0,1,1,1163.0,0,1,0,1,win
1,0,0,1,2,1279.0,0,2,1,1,win
1,0,0,0,1,1161.0,0,1,1,0,win
1,0,0,0,1,1115.0,0,1,1,0,win
0,0,0,1,1,1122.0,0,1,0,1,win
0,0,0,1,1,1093.0,0,1,0,1,win
0,0,0,1,1,1140.0,0,1,0,1,win
0,0,0,1,1,1105.0,0,1,0,1,win
0,0,0,1,1,1109.0,0,1,0,1,win
0,0,0,1,1,1109.0,0,1,0,1,win
1,0,0,0,1,1141.0,0,1,1,0,win
0,0,0,1,1,1098.0,0,1,0,1,win
1,0,0,0,1,1105.0,0,1,1,0,win
2,0,0,0,2,270.0,0,2,2,0,lose
0,0,0,1,1,1132.0,0,1,0,1,win
1,0,0,0,1,1145.0,0,1,1,0,win
0,0,0,1,1,1121.0,0,1,0,1,win
1,0,0,1,2,1358.0,0,2,1,1,win
1,0,0,2,3,1490.0,0,3,1,2,win
0,0,0,1,1,1127.0,0,1,0,1,win
1,0,0,1,2,1335.0,0,2,1,1,win
1,0,0,0,1,1164.0,0,1,1,0,win
1,0,0,1,2,1340.0,0,2,1,1,win
0,0,0,1,1,1102.0,0,1,0,1,win
0,0,0,1,1,1105.0,0,1,0,1,win
